id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18771426,"Comfortable, Spacious, Convenient Home with Pool",53419956,Janina,,Ward 62,-34.02222,18.44231,Entire home/apt,1797,4,9,2019-12-30,0.27,17,249
18774486,Century City- 2 bedroom Fully Furnished Apartment,9768005,Tamsyn,,Ward 55,-33.89031,18.50738,Entire home/apt,757,4,0,,,1,0
18777531,Selfcatering One bedroom Apartment with ocean view,129112930,Alison,,Ward 83,-34.11831,18.82748,Entire home/apt,557,3,1,2019-02-10,0.06,1,365
18778646,Family holiday near center of town,127043327,Liziwe,,Ward 58,-33.97674,18.48013,Entire home/apt,2096,7,0,,,2,0
18782522,Perfectly Located in Sought-After Green Point!,130718314,Chregan,,Ward 115,-33.91195,18.4147,Entire home/apt,669,2,14,2018-04-19,0.41,1,0
18785586,Warm and relaxed ZEEKOEVLEI homely apartment!,113970985,Keitumetse,,Ward 67,-34.05133,18.51141,Private room,663,2,0,,,1,180
18787116,"LAKESIDE LODGE - ROOM 12, Queen room",130555929,Marina,,Ward 64,-34.09056,18.45786,Private room,401,1,8,2019-12-30,0.27,4,344
18787465,"Warm, beautiful home base for your adventures",130439448,Kimberly,,Ward 57,-33.93694,18.46792,Private room,299,2,2,2017-06-13,0.06,1,0
18788497,Upper Long Street Apartment. Heart of Cape Town!,46648275,Jay,,Ward 115,-33.92533,18.41503,Entire home/apt,528,2,96,2020-03-19,2.83,2,0
18789223,Private room in modern home,103849118,Vanessa,,Ward 66,-34.01797,18.50736,Private room,993,1,4,2019-04-21,0.14,2,209
18794412,6 Sleeper Self Catering House,130821991,Bevan,,Ward 113,-33.83097,18.51421,Entire home/apt,2996,1,0,,,1,365
18796252,On the Close,130843673,Mervyn And Ashleen,,Ward 1,-33.86506,18.564,Private room,508,1,0,,,1,90
18796409,Piazza play penthouse with balcony,63202371,Scott,,Ward 115,-33.92431,18.42054,Entire home/apt,1815,2,124,2020-02-24,3.40,75,222
18799154,Solly Tucker One,110833949,Yvonne,,Ward 61,-34.16755,18.42903,Entire home/apt,1097,5,1,2020-01-04,0.21,8,362
18800748,"Spacious Loft Apartment,  Double En Suite Room.",10461683,Rhonette,,Ward 115,-33.90759,18.40706,Entire home/apt,401,1,80,2020-03-14,2.21,9,358
18803193,Beautiful Loft Situated off Trendy Kloof Street!,130893109,Chregan,,Ward 77,-33.93416,18.40641,Entire home/apt,986,2,6,2018-02-27,0.21,1,0
18806687,YOUR home from home,43549846,Pierre,,Ward 107,-33.79941,18.48742,Entire home/apt,1508,10,2,2020-01-02,0.07,1,35
18814661,"LAKESIDE LODGE, Muizenberg - Room 13 - Twin beds",130555929,Marina,,Ward 64,-34.09101,18.45777,Private room,697,1,21,2020-03-21,0.67,4,350
18814811,Modern Classic Apartment in Gardens,95382342,Albe,,Ward 115,-33.93179,18.41356,Entire home/apt,850,6,1,2017-10-29,0.03,1,89
18817190,Beautiful House,131016511,Mega,,Ward 113,-33.82344,18.50239,Entire home/apt,901,4,0,,,1,0
18832319,15 On Millwood,7610201,Stefan,,Ward 85,-34.11383,18.835,Private room,244,3,1,2017-09-06,0.03,1,365
18834593,Cape Spray Beach Cottage,57151180,Craig,,Ward 54,-33.96242,18.37436,Entire home/apt,10554,2,7,2019-10-23,0.20,1,91
18837336,Beach House with Great Views.,48648123,Nikolas,,Ward 61,-34.19818,18.37728,Entire home/apt,906,2,94,2020-03-21,2.58,1,175
18838854,Sunny Studio Loft Apartment in Upper Kenilworth,6520474,Liz,,Ward 59,-33.99105,18.46649,Entire home/apt,558,4,6,2019-02-01,0.20,1,363
18838939,ARUM LILY LUXURY 1 BEDROOM,2346675,Ayesha,,Ward 57,-33.93623,18.44795,Entire home/apt,1291,3,0,,,8,190
18840838,"2 bedroom 2 bathroom, unlimited WIFI",72360199,Xena,,Ward 55,-33.8896,18.51695,Entire home/apt,1097,2,2,2017-12-13,0.06,4,329
18840918,Sunrise Penguin Homestead,130579563,James,,Ward 61,-34.20205,18.45436,Shared room,229,1,1,2017-06-10,0.03,1,0
18843468,Sunny Rondebosch Home with Private pool,41624824,Wendy,,Ward 59,-33.97075,18.47404,Entire home/apt,2984,5,1,2018-01-09,0.03,1,239
